age,employment_status,income,credit_history,savings_account,num_existing_loans,loan_amount,loan_duration_months,debt_ratio,payment_history_score,housing,purpose,creditworthy
39,employed,52887.81,existing paid duly,$1000-$5000,0,2514.48,12,0.03,56.8,own,education,1
66,employed,35119.7,existing paid duly,$1000-$5000,0,5705.48,36,0.036,77.3,own,car,1
54,employed,68084.15,existing paid duly,< $1000,1,19380.91,48,0.041,65.0,rent,car,1
24,employed,40783.55,all paid duly,< $1000,1,14008.62,36,0.147,81.8,own,business,1
61,unemployed,7634.7,existing paid duly,$1000-$5000,1,4404.67,48,0.087,67.0,own,appliances,1
62,unemployed,10519.52,delay in past,$1000-$5000,1,12648.11,18,0.885,72.6,own,other,0
59,employed,16074.96,delay in past,< $1000,1,4218.51,36,0.066,73.5,rent,business,0
65,self-employed,37612.27,delay in past,none,0,17551.62,12,0.434,38.7,rent,business,0
31,employed,60451.9,critical account,$1000-$5000,1,1545.24,18,0.02,3.3,own,other,1
68,retired,9405.66,existing paid duly,$1000-$5000,1,11372.2,12,1.5,57.2,rent,education,1
35,employed,62601.79,delay in past,< $1000,1,1824.61,12,0.02,33.9,own,business,1
59,self-employed,79502.69,existing paid duly,< $1000,2,15458.24,6,0.478,85.0,rent,appliances,1
48,employed,39181.08,existing paid duly,< $1000,0,18748.05,36,0.112,86.6,own,appliances,1
58,self-employed,57310.99,delay in past,> $10000,1,17541.09,48,0.088,31.4,own,appliances,1
51,employed,62625.62,delay in past,$5000-$10000,1,8136.13,18,0.044,36.4,own,education,1
51,unemployed,7529.61,critical account,$1000-$5000,2,5631.61,18,0.462,8.4,own,education,0
50,employed,58667.46,all paid duly,< $1000,0,2860.04,6,0.105,84.4,own,business,1
58,retired,18362.35,existing paid duly,$1000-$5000,1,18412.45,18,0.782,69.2,rent,business,1
56,employed,37477.76,all paid duly,< $1000,1,2185.71,12,0.068,96.2,own,education,1
25,unemployed,6482.09,existing paid duly,> $10000,2,14038.39,24,0.799,78.9,own,car,1
61,student,8959.41,delay in past,none,0,7661.72,48,0.252,61.0,rent,car,0
46,retired,33726.94,delay in past,none,0,19917.68,24,0.224,22.2,rent,education,0
35,employed,42100.22,existing paid duly,$1000-$5000,1,10943.16,36,0.06,58.7,free,car,1
45,employed,24977.83,existing paid duly,none,0,11201.42,36,0.075,87.1,own,furniture,1
68,employed,27947.37,all paid duly,$1000-$5000,1,19318.77,12,0.476,72.3,rent,car,1
62,employed,51214.94,all paid duly,$1000-$5000,1,20378.32,18,0.158,52.7,rent,car,1
61,self-employed,85562.92,all paid duly,none,0,11880.91,12,0.144,96.5,rent,appliances,1
42,retired,27307.29,critical account,< $1000,1,16826.83,18,0.253,24.6,own,education,0
58,retired,20750.07,all paid duly,$1000-$5000,2,14165.75,48,0.165,100.0,own,appliances,1
38,employed,57067.4,critical account,$5000-$10000,2,9717.74,24,0.051,,own,car,1
53,self-employed,47641.12,all paid duly,< $1000,1,1698.53,24,0.019,77.0,rent,furniture,1
51,student,6940.8,delay in past,none,2,15945.61,12,1.5,74.5,rent,car,0
31,retired,15948.94,existing paid duly,$1000-$5000,1,14862.88,18,0.464,46.6,own,car,1
32,employed,67183.07,existing paid duly,< $1000,0,2775.69,60,0.01,95.8,own,car,1
22,employed,5007.48,existing paid duly,$1000-$5000,2,5484.98,18,0.911,58.5,free,education,1
26,student,10234.01,delay in past,$1000-$5000,0,14776.5,36,0.622,52.9,own,car,0
41,employed,37696.02,critical account,< $1000,0,3419.38,6,0.143,38.1,rent,appliances,0
43,employed,38537.13,existing paid duly,$1000-$5000,1,14671.89,12,0.478,62.3,free,education,1
27,retired,38215.45,no credits,< $1000,4,17400.67,18,0.3,56.3,own,car,0
40,retired,18001.3,all paid duly,none,3,8498.74,48,0.145,75.3,rent,appliances,1
49,retired,18287.42,delay in past,$1000-$5000,1,5811.27,12,0.166,31.7,rent,education,1
30,unemployed,8589.26,existing paid duly,> $10000,3,8940.41,36,0.182,100.0,own,furniture,1
36,employed,51518.1,existing paid duly,$1000-$5000,0,7504.33,12,0.082,61.3,own,education,1
37,employed,38040.77,existing paid duly,< $1000,3,14187.42,24,0.213,90.9,rent,business,1
44,employed,20211.72,existing paid duly,$1000-$5000,2,16505.55,24,0.249,88.5,own,education,1
37,self-employed,36244.29,delay in past,< $1000,0,17304.18,24,0.153,56.5,own,other,0
56,employed,65181.01,delay in past,< $1000,1,1139.09,12,0.017,47.6,own,furniture,1
35,self-employed,53360.94,delay in past,< $1000,2,16134.53,12,0.383,53.5,rent,furniture,1
41,employed,52104.62,delay in past,< $1000,0,6626.63,48,0.03,60.3,own,appliances,0
38,unemployed,8176.52,critical account,< $1000,4,20224.22,24,1.341,36.8,own,business,0
28,employed,34612.91,existing paid duly,> $10000,2,2174.13,12,0.041,41.8,own,other,1
53,employed,71421.72,critical account,< $1000,0,11247.9,18,0.129,2.3,own,appliances,0
31,employed,42035.98,all paid duly,$5000-$10000,0,11199.14,6,0.29,100.0,rent,education,1
34,employed,38016.92,existing paid duly,$1000-$5000,1,7210.32,24,0.069,22.6,rent,business,1
59,student,11069.2,delay in past,< $1000,2,21363.08,18,1.109,53.5,own,furniture,0
67,employed,33622.82,existing paid duly,none,0,2585.0,12,0.052,65.8,rent,car,1
53,employed,35633.04,all paid duly,none,1,3317.73,18,0.064,84.9,rent,furniture,1
65,unemployed,9032.28,existing paid duly,,2,14369.37,24,0.829,49.5,rent,furniture,0
62,self-employed,52004.92,existing paid duly,$1000-$5000,1,11055.28,60,0.028,76.3,rent,business,1
43,employed,49088.88,critical account,> $10000,0,5657.11,36,0.019,38.7,own,business,1
58,employed,77943.79,existing paid duly,$5000-$10000,0,6433.3,24,0.023,100.0,rent,other,1
35,employed,,all paid duly,none,2,3918.15,36,0.013,84.3,rent,car,1
42,self-employed,8719.42,existing paid duly,< $1000,0,17421.4,12,1.5,94.3,rent,education,1
46,employed,50139.21,existing paid duly,none,0,11605.62,36,0.077,43.0,own,furniture,1
67,employed,45596.61,no credits,> $10000,1,5537.99,6,0.148,88.4,own,education,1
62,employed,45684.34,existing paid duly,< $1000,1,8580.29,6,0.216,74.1,own,car,1
43,self-employed,56476.24,existing paid duly,none,1,19089.38,24,0.195,74.9,own,education,1
52,employed,44548.32,all paid duly,$1000-$5000,1,18683.07,12,0.482,87.1,own,business,1
29,student,7852.69,existing paid duly,$1000-$5000,2,2032.34,36,0.107,100.0,own,furniture,1
60,employed,54655.45,existing paid duly,< $1000,1,13917.7,24,0.08,74.6,own,business,1
47,self-employed,42134.13,delay in past,$1000-$5000,2,3831.23,6,0.167,35.9,own,car,1
46,employed,30073.94,existing paid duly,none,1,4842.84,18,0.064,58.9,free,furniture,1
58,employed,92624.56,all paid duly,none,1,18219.65,24,0.112,96.7,own,other,1
51,employed,33725.25,critical account,none,1,18854.02,36,0.155,43.1,own,car,0
22,student,8280.4,existing paid duly,< $1000,1,2218.12,48,0.071,42.5,rent,car,1
33,retired,11436.45,no credits,> $10000,1,18418.58,18,0.562,79.3,own,other,1
28,employed,46834.38,delay in past,< $1000,0,14705.62,48,0.088,30.5,own,car,0
56,employed,30301.7,all paid duly,$1000-$5000,0,15626.35,18,0.235,89.9,own,furniture,1
20,retired,20283.23,delay in past,< $1000,1,16737.42,6,1.5,35.5,own,furniture,0
29,employed,61459.77,delay in past,$1000-$5000,2,11430.15,24,0.06,44.9,rent,business,0
49,employed,52434.15,critical account,> $10000,0,18964.7,12,0.409,25.2,own,business,1
54,employed,53952.45,critical account,< $1000,0,4407.01,12,0.05,,own,business,1
44,self-employed,19764.07,all paid duly,> $10000,0,10346.82,12,0.539,89.2,own,other,1
62,unemployed,14786.22,delay in past,$1000-$5000,2,7382.95,48,0.14,72.7,own,furniture,0
65,self-employed,30307.76,all paid duly,$1000-$5000,0,16537.41,48,0.11,100.0,rent,education,1
25,retired,36839.91,existing paid duly,< $1000,1,2218.3,60,0.01,70.8,own,other,1
67,employed,61089.32,existing paid duly,$1000-$5000,2,9852.4,18,0.083,97.0,own,car,1
50,employed,54092.99,no credits,< $1000,2,17141.1,24,0.117,57.4,own,other,1
51,employed,31533.99,no credits,> $10000,2,7249.71,48,0.058,92.6,rent,other,1
23,employed,47387.54,no credits,$5000-$10000,2,5708.22,18,0.043,55.5,own,other,1
50,employed,37582.99,all paid duly,< $1000,1,5900.69,18,0.056,81.7,rent,car,1
56,employed,45457.37,all paid duly,> $10000,1,15135.76,12,0.243,91.7,own,education,1
48,employed,,critical account,$5000-$10000,0,6092.26,24,0.054,47.5,free,appliances,1
23,unemployed,4000.0,existing paid duly,$1000-$5000,1,8769.95,36,0.468,47.1,own,furniture,0
45,employed,62668.1,delay in past,none,1,11697.55,18,0.134,34.4,rent,education,0
66,employed,43722.56,delay in past,none,2,20729.3,6,0.492,61.0,own,car,1
55,self-employed,43176.63,delay in past,none,0,15989.78,36,0.153,43.4,own,car,1
26,self-employed,41802.04,existing paid duly,,2,4524.29,24,0.06,44.8,rent,appliances,1
67,unemployed,10129.15,delay in past,> $10000,0,17720.14,12,1.437,48.7,free,other,0
67,student,5497.48,delay in past,none,0,16972.96,18,1.5,47.9,rent,car,0
27,unemployed,4000.0,delay in past,$1000-$5000,0,15031.88,60,0.745,53.2,own,car,0
59,employed,51412.29,critical account,$1000-$5000,0,10579.67,24,0.098,44.5,own,education,0
39,employed,53175.87,existing paid duly,$1000-$5000,1,1954.46,24,0.014,78.4,own,car,1
49,self-employed,48366.7,existing paid duly,none,0,14374.35,24,0.153,56.2,rent,business,1
41,employed,26920.53,critical account,$1000-$5000,2,11668.44,60,0.053,27.6,own,business,0
58,employed,46400.73,existing paid duly,$1000-$5000,2,7194.67,18,0.095,86.7,own,furniture,1
69,employed,21933.62,delay in past,$1000-$5000,0,693.79,12,0.019,40.2,own,appliances,1
59,employed,28821.12,no credits,none,3,5756.27,18,0.114,62.9,free,car,0
66,employed,33176.51,no credits,$1000-$5000,1,12926.51,48,0.097,42.9,own,furniture,1
67,employed,58292.04,existing paid duly,none,2,2958.98,12,0.032,69.5,own,appliances,1
23,student,6984.69,no credits,$1000-$5000,0,13280.66,12,1.286,76.2,own,car,0
31,retired,20237.92,critical account,< $1000,2,18131.97,12,1.03,0.0,own,furniture,0
55,employed,75786.41,no credits,< $1000,1,7039.7,24,0.033,50.7,own,business,1
49,retired,26960.68,delay in past,$5000-$10000,1,2203.65,24,0.024,24.4,rent,car,0
21,employed,50339.16,all paid duly,none,1,3385.33,18,0.034,96.2,own,education,1
23,retired,20894.51,critical account,> $10000,1,7853.19,12,0.469,0.6,own,appliances,0
45,retired,18990.48,existing paid duly,$5000-$10000,2,17998.16,36,0.333,68.6,own,car,1
50,employed,10564.1,no credits,< $1000,0,12868.44,6,1.5,82.9,own,furniture,1
27,unemployed,12051.53,no credits,< $1000,1,18295.0,36,0.593,73.4,rent,car,0
27,retired,27765.8,existing paid duly,none,2,21880.46,12,0.81,62.1,own,business,0
25,retired,22495.01,critical account,$5000-$10000,1,4672.54,48,0.06,41.2,rent,furniture,0
47,retired,22847.3,critical account,$1000-$5000,0,14049.02,18,0.42,53.7,own,appliances,0
19,self-employed,65397.83,all paid duly,none,0,9597.08,24,0.087,80.1,own,car,1
48,employed,20513.32,existing paid duly,< $1000,0,10122.82,12,0.493,29.7,own,appliances,1
43,student,6348.33,all paid duly,none,1,7191.28,12,0.805,100.0,own,appliances,1
42,self-employed,31319.29,existing paid duly,$1000-$5000,1,7537.94,36,0.043,77.2,own,appliances,1
53,self-employed,84241.47,existing paid duly,< $1000,1,14371.87,24,0.05,69.4,own,business,1
45,employed,58791.57,all paid duly,none,1,13235.94,36,0.068,46.4,rent,car,1
56,self-employed,11910.99,existing paid duly,$5000-$10000,0,6710.82,24,0.359,64.6,own,furniture,1
57,employed,21158.25,critical account,< $1000,0,2812.33,24,0.074,19.2,own,furniture,1
65,unemployed,8583.11,no credits,< $1000,2,12953.28,48,0.422,48.1,own,car,0
59,employed,37559.07,all paid duly,$1000-$5000,2,16410.05,18,0.3,79.5,own,education,1
45,unemployed,4828.2,all paid duly,> $10000,1,11962.78,48,0.756,72.4,own,business,1
44,student,13445.33,all paid duly,< $1000,3,656.87,18,0.035,73.5,rent,education,1
31,employed,49922.5,all paid duly,$5000-$10000,1,6305.41,18,0.059,95.3,rent,other,1
49,employed,52478.36,existing paid duly,< $1000,1,16466.41,36,0.094,74.6,rent,business,1
26,employed,34100.76,all paid duly,$5000-$10000,0,14979.69,6,0.723,73.1,own,furniture,1
66,retired,30067.1,delay in past,< $1000,2,773.3,12,0.016,38.8,own,furniture,0
62,unemployed,7801.64,critical account,$1000-$5000,2,10637.85,6,1.5,26.8,rent,education,0
25,employed,40537.35,critical account,none,1,9479.09,24,0.085,30.5,own,furniture,0
59,employed,54623.28,existing paid duly,> $10000,0,13219.49,24,0.077,80.5,rent,car,1
24,employed,19343.29,all paid duly,> $10000,1,3083.97,6,0.215,63.2,rent,education,1
55,employed,70153.19,no credits,< $1000,3,14510.24,12,0.255,96.3,own,business,1
23,retired,25532.07,all paid duly,< $1000,2,20861.39,18,0.422,92.5,own,furniture,1
43,unemployed,13034.97,critical account,$1000-$5000,0,7749.12,12,0.69,0.0,rent,furniture,0
52,employed,28062.14,critical account,< $1000,0,7078.45,6,0.278,36.5,own,car,0
56,student,5415.14,existing paid duly,$1000-$5000,2,1156.47,12,0.274,88.7,own,furniture,1
40,employed,26700.07,all paid duly,$1000-$5000,0,1619.2,48,0.017,89.0,own,car,1
66,student,8700.83,existing paid duly,< $1000,1,19598.95,36,0.919,62.6,own,appliances,1
58,employed,46039.24,all paid duly,none,0,19522.29,12,0.39,80.9,rent,business,1
29,self-employed,43547.7,critical account,$5000-$10000,0,610.01,12,0.014,38.2,own,furniture,0
53,retired,15481.82,all paid duly,none,3,20772.74,6,1.5,95.9,rent,other,1
56,employed,25051.11,existing paid duly,$1000-$5000,0,3892.22,18,0.088,44.5,free,business,1
36,self-employed,51117.59,existing paid duly,none,1,12018.82,18,0.172,59.1,free,car,1
56,retired,20089.07,all paid duly,none,1,14409.94,48,0.097,100.0,own,appliances,1
64,employed,34201.69,existing paid duly,none,0,7501.64,36,0.039,70.6,own,appliances,1
60,employed,69366.66,delay in past,< $1000,0,10815.27,24,0.094,77.5,rent,education,1
57,self-employed,50501.67,all paid duly,$1000-$5000,0,12737.07,12,0.148,100.0,rent,car,1
51,employed,65003.18,existing paid duly,< $1000,0,4281.56,36,0.024,61.1,own,appliances,1
32,employed,36601.28,existing paid duly,$1000-$5000,1,20882.4,60,0.075,48.4,rent,car,1
59,employed,48855.23,all paid duly,$1000-$5000,2,4923.27,6,0.16,77.2,rent,furniture,1
37,unemployed,8825.25,no credits,none,2,771.76,48,0.016,89.8,rent,appliances,0
46,employed,18262.45,all paid duly,none,0,18913.55,12,0.923,100.0,free,appliances,1
35,employed,67496.33,no credits,$1000-$5000,1,9311.39,36,0.053,100.0,free,business,1
34,student,7621.57,existing paid duly,$1000-$5000,1,8686.74,12,1.366,69.3,own,car,1
27,employed,56756.09,delay in past,$1000-$5000,3,6756.93,24,0.04,58.8,own,furniture,0
68,student,5894.32,delay in past,< $1000,0,1003.72,12,0.131,37.2,rent,appliances,0
26,employed,42403.7,critical account,$5000-$10000,2,6224.99,24,0.086,0.0,rent,business,0
23,retired,16718.44,existing paid duly,none,0,8169.36,24,0.14,69.3,rent,appliances,1
66,self-employed,74495.17,delay in past,$1000-$5000,2,11711.06,24,0.047,29.2,own,car,1
47,employed,49904.7,existing paid duly,none,1,9895.27,36,0.058,81.6,rent,other,1
41,retired,27083.25,all paid duly,$1000-$5000,0,17641.21,6,1.474,48.1,own,car,1
56,employed,66391.4,all paid duly,< $1000,2,20098.03,36,0.078,68.7,free,furniture,1
38,employed,63212.38,existing paid duly,$1000-$5000,1,7018.75,12,0.062,74.8,rent,appliances,1
25,employed,57054.14,delay in past,,0,19211.31,36,0.143,56.7,own,furniture,0
56,self-employed,26124.56,existing paid duly,$1000-$5000,1,18234.53,12,0.873,69.1,rent,business,1
27,employed,34043.05,all paid duly,none,0,18588.88,24,0.279,100.0,rent,education,1
47,employed,29188.76,critical account,$1000-$5000,1,14987.12,18,0.358,63.3,own,appliances,0
67,employed,56458.66,all paid duly,none,1,4584.62,60,0.02,69.7,own,car,1
66,employed,47687.77,critical account,none,0,4306.94,24,0.046,64.0,rent,car,0
37,employed,23099.43,delay in past,$1000-$5000,1,19129.64,6,1.5,81.7,rent,business,0
58,employed,42027.28,delay in past,none,0,10387.39,36,0.072,47.8,own,appliances,1
50,employed,21467.73,delay in past,< $1000,1,18757.32,12,0.596,50.8,free,other,0
43,employed,44162.79,all paid duly,$5000-$10000,3,16733.29,12,0.442,81.1,free,furniture,1
26,self-employed,21872.22,existing paid duly,$5000-$10000,0,4643.99,18,0.148,58.4,rent,business,1
38,employed,53329.03,delay in past,$5000-$10000,2,8803.1,36,0.04,40.2,free,furniture,1
52,self-employed,58878.92,delay in past,< $1000,1,20341.22,60,0.069,73.7,own,furniture,1
69,employed,75050.19,all paid duly,< $1000,0,881.86,60,0.01,89.9,free,car,1
19,employed,58354.0,all paid duly,$1000-$5000,2,15877.82,12,0.195,72.0,free,car,1
55,employed,38339.1,all paid duly,none,2,21544.82,6,1.252,65.3,rent,car,1
62,employed,57884.6,existing paid duly,$1000-$5000,0,2530.87,48,0.01,56.4,own,car,1
67,employed,22986.79,existing paid duly,none,3,6674.44,12,0.29,67.1,own,furniture,1
40,student,5305.08,delay in past,$5000-$10000,3,12841.77,24,1.5,66.4,own,appliances,0
25,employed,50246.99,delay in past,$1000-$5000,0,16953.42,60,0.08,34.5,rent,car,1
32,employed,11007.57,existing paid duly,< $1000,1,10895.83,12,1.187,86.2,own,appliances,1
62,self-employed,51323.67,all paid duly,< $1000,0,1662.12,18,0.023,85.5,rent,appliances,1
63,employed,28930.85,existing paid duly,none,1,3129.1,48,0.023,72.6,rent,education,1
51,employed,46595.59,all paid duly,< $1000,3,9005.53,24,0.101,100.0,own,business,1
25,employed,28025.65,all paid duly,$1000-$5000,2,7468.5,60,0.04,97.2,own,furniture,1
25,employed,51681.91,no credits,< $1000,0,4783.73,24,0.044,44.7,rent,car,1
43,employed,45304.41,all paid duly,< $1000,0,16882.51,18,0.231,62.5,own,business,1
49,unemployed,13411.15,all paid duly,none,1,1075.4,48,0.019,77.9,free,education,1
20,retired,24056.57,existing paid duly,$1000-$5000,1,17505.82,36,0.201,76.4,rent,education,1
53,employed,32893.88,no credits,< $1000,0,18472.76,60,0.088,94.6,own,other,1
46,self-employed,47506.68,all paid duly,none,1,13426.52,24,0.108,83.2,rent,business,1
19,unemployed,4765.66,no credits,> $10000,1,13329.05,24,0.948,100.0,rent,furniture,1
23,employed,51396.66,existing paid duly,< $1000,2,3746.43,18,0.041,57.3,rent,car,1
42,unemployed,10858.03,existing paid duly,< $1000,0,11582.2,12,0.633,60.3,rent,appliances,0
55,self-employed,96939.37,all paid duly,> $10000,0,7815.9,60,0.02,76.5,free,other,1
61,retired,18776.58,all paid duly,< $1000,1,5214.79,60,0.031,67.3,own,business,1
40,retired,21750.53,critical account,> $10000,1,12468.67,24,0.335,55.9,own,appliances,0
34,employed,35931.8,existing paid duly,$1000-$5000,2,575.54,60,0.01,20.1,rent,education,1
68,employed,48340.79,existing paid duly,$1000-$5000,1,6184.55,18,0.101,60.9,rent,car,1
42,employed,51011.63,existing paid duly,< $1000,1,13957.46,48,0.074,90.7,free,other,1
35,employed,44159.35,delay in past,none,1,9841.96,24,0.138,44.4,own,business,0
41,employed,62109.63,critical account,< $1000,0,3339.99,36,0.021,54.3,own,education,0
19,retired,18817.37,existing paid duly,none,0,525.7,36,0.01,100.0,rent,business,1
34,employed,60532.24,existing paid duly,none,2,6350.92,24,0.033,71.4,rent,education,1
45,employed,53481.34,all paid duly,$1000-$5000,0,11206.66,48,0.049,100.0,rent,car,1
65,student,7966.32,existing paid duly,$1000-$5000,2,12016.0,18,0.775,100.0,own,business,1
56,employed,40039.75,existing paid duly,none,0,3055.9,48,0.023,77.2,rent,car,1
58,employed,83220.02,no credits,$1000-$5000,3,14337.16,12,0.206,69.1,rent,car,1
46,retired,17137.13,critical account,> $10000,2,21976.93,12,0.963,51.2,rent,car,0
24,employed,49692.45,delay in past,$1000-$5000,0,11904.9,36,0.083,71.3,rent,furniture,1
38,employed,33184.05,all paid duly,$1000-$5000,1,11328.39,36,0.088,81.3,own,other,1
69,employed,73123.53,critical account,$1000-$5000,1,13273.41,48,0.047,,free,car,1
21,retired,31449.34,all paid duly,< $1000,1,18536.26,12,0.584,100.0,own,furniture,0
63,employed,34315.99,existing paid duly,< $1000,0,18946.99,6,1.003,65.1,free,appliances,1
53,employed,53073.37,delay in past,> $10000,2,1430.17,24,0.016,71.5,own,appliances,1
33,employed,49058.71,all paid duly,$1000-$5000,1,4722.25,48,0.017,86.7,rent,business,1
58,employed,36863.16,existing paid duly,$1000-$5000,0,2757.4,60,0.017,100.0,own,other,1
61,retired,30368.58,existing paid duly,> $10000,2,17116.99,48,0.148,54.7,own,business,1
21,employed,51131.56,all paid duly,< $1000,2,1527.32,24,0.011,66.7,free,business,1
24,retired,25811.87,existing paid duly,< $1000,1,19006.45,48,0.154,85.4,own,furniture,1
52,employed,44339.76,all paid duly,$1000-$5000,1,945.87,12,0.012,61.7,own,furniture,1
69,employed,51789.11,existing paid duly,none,1,12862.15,60,0.049,72.1,rent,education,1
20,student,8642.29,all paid duly,$1000-$5000,1,6167.42,24,0.431,100.0,own,appliances,1
52,employed,45930.72,all paid duly,$5000-$10000,1,10159.79,18,0.088,49.9,rent,business,1
25,employed,34904.0,delay in past,$1000-$5000,2,10028.45,24,0.087,57.2,free,appliances,1
52,student,12742.55,all paid duly,< $1000,2,16613.76,36,0.382,100.0,own,business,1
50,employed,28455.89,existing paid duly,$1000-$5000,1,10693.75,12,0.272,69.5,own,business,1
23,employed,51735.27,delay in past,none,1,9149.5,12,0.128,33.3,rent,car,0
53,retired,21309.98,delay in past,$5000-$10000,1,15477.42,36,0.245,45.3,rent,furniture,0
64,employed,72712.87,no credits,none,1,19480.9,60,0.044,54.9,own,education,1
63,employed,30770.15,delay in past,$5000-$10000,1,16780.56,24,0.32,51.2,own,car,0
20,employed,33419.6,delay in past,< $1000,0,14865.98,12,0.375,45.0,own,other,0
31,employed,29725.37,all paid duly,< $1000,0,10010.58,24,0.167,72.8,own,car,1
31,employed,50094.57,delay in past,< $1000,1,18956.92,12,0.31,,own,car,0
42,self-employed,27010.48,delay in past,none,1,10482.27,18,0.182,78.4,free,business,0
26,employed,37463.18,existing paid duly,< $1000,2,20504.63,6,0.96,75.9,own,car,1
62,self-employed,12826.94,existing paid duly,$5000-$10000,0,16156.98,24,0.677,94.2,own,education,1
58,employed,48786.64,delay in past,$5000-$10000,0,3430.07,18,0.059,78.4,free,car,1
60,employed,37121.62,critical account,none,0,1416.35,6,0.041,24.4,own,car,0
29,employed,21563.11,existing paid duly,$1000-$5000,1,15694.02,18,0.449,74.9,free,business,1
19,unemployed,12419.67,delay in past,$5000-$10000,0,13873.86,24,0.563,42.4,rent,furniture,0
65,employed,24404.25,delay in past,$5000-$10000,1,12852.77,12,0.299,23.3,own,education,1
33,employed,57551.86,delay in past,< $1000,1,20513.5,12,0.415,56.4,own,car,1
52,student,6037.09,critical account,none,0,11135.36,24,0.663,16.1,own,education,0
65,self-employed,81148.6,all paid duly,> $10000,0,7284.05,36,0.036,90.7,own,furniture,1
20,employed,56805.42,all paid duly,< $1000,3,13244.36,48,0.055,54.0,own,car,1
19,retired,15532.4,existing paid duly,< $1000,3,1212.13,24,0.024,73.1,own,business,1
19,employed,30555.95,existing paid duly,$1000-$5000,4,14154.78,36,0.168,41.7,own,education,1
26,employed,54537.02,existing paid duly,< $1000,1,19002.26,48,0.054,82.1,rent,other,1
21,employed,40867.54,delay in past,$5000-$10000,0,584.44,36,0.01,42.9,own,appliances,1
60,employed,42332.86,critical account,none,1,17832.6,24,0.241,26.2,own,education,0
49,employed,65037.76,existing paid duly,$1000-$5000,1,16944.49,6,0.5,90.3,own,car,1
68,unemployed,6641.63,delay in past,> $10000,0,2569.01,12,0.277,44.2,own,appliances,0
59,employed,46437.88,all paid duly,> $10000,0,17013.19,18,0.208,84.0,rent,education,1
68,student,10672.96,existing paid duly,$5000-$10000,1,16158.59,18,0.93,66.4,rent,appliances,1
31,retired,30796.59,no credits,$5000-$10000,1,10579.18,60,0.071,79.1,own,education,1
33,self-employed,49095.05,existing paid duly,< $1000,3,6073.92,12,0.125,88.8,rent,car,1
62,unemployed,8089.95,existing paid duly,> $10000,0,6117.96,24,0.31,85.0,own,appliances,1
31,unemployed,4000.0,delay in past,$5000-$10000,2,13683.3,60,0.755,41.6,rent,appliances,0
21,retired,15127.54,existing paid duly,< $1000,2,5833.22,24,0.215,91.8,own,car,1
53,employed,50014.16,existing paid duly,< $1000,1,7186.66,12,0.152,53.5,rent,business,1
59,employed,42828.36,no credits,none,0,18651.35,60,0.062,56.6,own,education,1
68,employed,46180.1,all paid duly,$1000-$5000,3,16930.19,18,0.214,79.7,own,education,1
66,employed,61368.24,critical account,$1000-$5000,2,16338.79,6,0.451,53.8,own,other,0
25,employed,26299.66,critical account,< $1000,0,19140.76,18,0.559,13.9,own,car,0
58,self-employed,47701.52,all paid duly,< $1000,1,643.63,12,0.015,98.0,rent,car,1
62,employed,47972.2,all paid duly,$1000-$5000,1,5530.85,48,0.034,81.0,rent,car,1
54,retired,18085.06,existing paid duly,none,0,13330.49,12,0.505,62.2,own,other,1
60,employed,67545.76,existing paid duly,> $10000,2,9950.92,48,0.04,89.8,free,car,1
61,employed,59310.24,existing paid duly,< $1000,2,2969.67,6,0.12,55.6,own,business,1
41,employed,49569.6,no credits,none,1,16520.76,60,0.042,100.0,rent,appliances,0
21,employed,73259.15,existing paid duly,,0,1417.91,6,0.021,66.8,own,appliances,1
42,employed,21392.4,all paid duly,$5000-$10000,0,11105.1,60,0.061,84.7,own,car,1
29,employed,44878.31,all paid duly,$5000-$10000,1,12041.46,6,0.528,100.0,own,car,1
24,employed,50769.81,all paid duly,none,0,12901.25,48,0.053,85.2,rent,other,1
25,employed,30595.76,existing paid duly,none,0,6654.71,48,0.036,91.4,rent,education,1
54,employed,49736.25,existing paid duly,< $1000,1,1008.23,24,0.01,34.8,rent,car,1
44,employed,27571.33,all paid duly,none,1,18726.93,6,1.5,74.0,own,car,1
46,employed,55876.28,existing paid duly,$1000-$5000,1,19550.47,24,0.207,77.1,own,appliances,1
57,employed,61660.9,existing paid duly,none,1,10393.72,24,0.093,89.5,rent,other,1
46,employed,49289.25,delay in past,< $1000,1,947.61,24,0.012,63.9,rent,education,1
51,employed,15818.43,critical account,< $1000,0,11826.99,24,0.367,,own,furniture,0
23,employed,29773.0,all paid duly,< $1000,0,6660.63,60,0.052,100.0,rent,business,1
62,unemployed,10778.84,critical account,< $1000,0,4058.47,60,0.063,43.6,rent,car,0
41,retired,24178.07,delay in past,none,3,4363.76,24,0.107,11.4,own,other,0
26,retired,4000.0,existing paid duly,< $1000,1,4195.26,6,1.5,96.0,rent,car,0
60,employed,64574.58,existing paid duly,none,1,7298.97,12,0.119,54.9,own,car,1
56,employed,47152.34,all paid duly,none,2,6569.3,36,0.039,87.6,own,furniture,1
21,employed,32099.57,no credits,> $10000,2,18491.31,60,0.084,73.3,rent,car,1
28,unemployed,12134.11,critical account,< $1000,0,10158.64,18,0.424,35.9,free,furniture,0
19,unemployed,6865.75,existing paid duly,< $1000,2,9723.04,6,1.5,50.1,own,business,0
32,student,6072.33,existing paid duly,none,1,3510.94,18,0.207,35.1,own,education,1
24,retired,27010.16,existing paid duly,$1000-$5000,1,18458.86,18,0.379,52.0,own,business,1
